Name,Photo,Age,Country,Club,Club Photo,Overall Rating,Potential,Height,Weight,Preferred Foot,Best Position,Value,Wage,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,FK Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
Nemanja Gudelj,https://www.fifaindex.com/static/FIFA20/images/players/5/193198.png,28,Serbia,Sevilla FC ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/481.png,77,78,"6'2""",161lbs,Right,CDM,€9M,€17K,74,58,73,78,69.0,64,79,76,75,61,65,62.0,72,57.0,85,67.0,86,85,81,83,75.0,65.0,70.0,74,71.0,70,8,11,8,14,12
Claudio Bravo,https://www.fifaindex.com/static/FIFA20/images/players/5/174543.png,36,Chile,Manchester City ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/10.png,71,82,"5'7""",159lbs,Left,LB,€3.7M,€8K,64,48,53,65,45.0,73,38,58,68,77,74,75.0,63,75.0,59,71.0,75,57,47,71,73.0,57.0,60.0,47,64.0,71,14,12,8,11,13
Claudio Bravo,https://www.fifaindex.com/static/FIFA20/images/players/5/174543.png,36,Chile,Manchester City ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/10.png,77,77,"6'0""",176lbs,Right,GK,€1.5M,€47K,12,13,18,56,11.0,22,38,54,32,58,54,63.0,71,62.0,63,81.0,41,69,17,40,23.0,16.0,69.0,23,64.0,15,77,76,84,75,77
Ashley Young,https://www.fifaindex.com/static/FIFA20/images/players/5/152908.png,34,England,Inter ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/44.png,77,77,"5'9""",143lbs,Right,LB,€4M,€85K,77,60,62,75,69.0,72,75,64,76,73,68,72.0,76,76.0,74,59.0,70,64,63,85,77.0,67.0,70.0,60,70.0,72,16,10,15,16,15
Kangin Lee,https://www.fifaindex.com/static/FIFA20/images/players/5/243780.png,18,Korea Republic,Valencia CF ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/461.png,76,86,"5'8""",134lbs,Left,CAM,€11.5M,€11K,70,70,45,74,60.0,80,81,72,78,71,73,85.0,68,87.0,72,38.0,57,46,75,50,29.0,63.0,80.0,70,71.0,26,11,12,12,8,14
Fikayo Tomori,https://www.fifaindex.com/static/FIFA20/images/players/5/232756.png,22,England,Chelsea ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/5.png,76,86,"6'1""",172lbs,Right,CB,€11.5M,€53K,56,33,72,73,32.0,65,40,60,64,77,83,76.0,72,61.0,42,74.0,67,78,45,72,75.0,33.0,36.0,27,74.0,74,10,13,10,11,7
Davide Calabria,https://www.fifaindex.com/static/FIFA20/images/players/5/228881.png,23,Italy,Milan ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/47.png,76,82,"5'9""",154lbs,Right,RB,€9.5M,€27K,76,30,64,72,58.0,70,48,66,71,78,74,81.0,74,78.0,62,68.0,79,60,48,78,77.0,42.0,50.0,48,74.0,77,8,14,15,12,7
Rob Holding,https://www.fifaindex.com/static/FIFA20/images/players/5/228295.png,24,England,Arsenal ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/1.png,76,83,"6'2""",165lbs,Right,CB,€10M,€52K,52,30,75,72,27.0,62,30,61,67,58,61,58.0,70,67.0,48,77.0,65,76,27,72,77.0,40.0,57.0,38,79.0,77,14,11,10,14,13
Andrea Conti,https://www.fifaindex.com/static/FIFA20/images/players/5/223329.png,25,Italy,Milan ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/47.png,76,79,"6'0""",168lbs,Right,RWB,€8.5M,€30K,76,58,64,76,59.0,74,42,69,76,73,77,79.0,76,68.0,68,53.0,87,54,49,73,73.0,73.0,63.0,48,72.0,76,9,13,13,9,10
Calum Chambers,https://www.fifaindex.com/static/FIFA20/images/players/5/205989.png,25,England,Arsenal ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/1.png,76,81,"6'0""",161lbs,Right,CB,€9.5M,€52K,69,54,73,76,47.0,66,49,70,76,64,68,60.0,74,66.0,60,71.0,76,77,58,80,75.0,54.0,63.0,54,64.0,73,11,14,12,7,12
Layvin Kurzawa,https://www.fifaindex.com/static/FIFA20/images/players/5/201510.png,27,France,Paris ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/73.png,76,77,"6'0""",163lbs,Left,LB,€8M,€56K,76,66,71,74,61.0,76,53,69,80,78,69,74.0,75,71.0,69,82.0,71,68,62,75,74.0,74.0,75.0,54,74.0,71,14,10,7,9,15
Lorenzo Tonelli,https://www.fifaindex.com/static/FIFA20/images/players/5/201049.png,30,Italy,Napoli ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/48.png,77,77,"6'0""",172lbs,Right,CB,€7.5M,€53K,40,25,74,54,33.0,54,17,54,58,67,62,70.0,73,79.0,52,80.0,55,71,25,85,78.0,23.0,30.0,35,74.0,79,13,11,13,11,6
Marco van Ginkel,https://www.fifaindex.com/static/FIFA20/images/players/5/199767.png,27,Netherlands,Chelsea ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/5.png,76,77,"6'1""",181lbs,Right,CF,€9M,€81K,71,76,74,82,74.0,75,69,79,80,62,65,69.0,71,59.0,79,74.0,60,71,76,69,60.0,76.0,75.0,84,83.0,71,7,11,13,13,14
Danilo D'Ambrosio,https://www.fifaindex.com/static/FIFA20/images/players/5/198946.png,31,Italy,Inter ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/44.png,76,76,"5'11""",165lbs,Right,CB,€6M,€47K,73,48,73,69,54.0,69,62,64,69,69,68,72.0,79,69.0,66,78.0,72,65,58,77,78.0,69.0,54.0,60,72.0,79,9,10,15,13,15
Eliaquim Mangala,https://www.fifaindex.com/static/FIFA20/images/players/5/190531.png,28,France,Valencia CF ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/461.png,76,78,"6'2""",185lbs,Left,CB,€8M,€30K,53,27,77,58,44.0,46,48,56,52,57,64,61.0,62,59.0,67,85.0,54,87,48,88,71.0,39.0,47.0,48,58.0,70,10,13,6,10,14
Victor Wanyama,https://www.fifaindex.com/static/FIFA20/images/players/5/188942.png,28,Kenya,Spurs ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/18.png,76,76,"6'0""",192lbs,Right,CB,€7M,€67K,62,61,68,74,60.0,68,57,70,74,51,51,63.0,77,65.0,79,77.0,60,88,60,87,78.0,63.0,58.0,65,70.0,76,6,14,10,13,16
Eric Maxim Choupo-Moting,https://www.fifaindex.com/static/FIFA20/images/players/5/183569.png,30,Cameroon,Paris ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/73.png,76,76,"6'3""",201lbs,Right,ST,€7.5M,€67K,65,72,72,74,72.0,80,44,63,76,75,77,75.0,73,62.0,77,67.0,74,76,64,55,40.0,77.0,67.0,68,75.0,31,9,9,9,16,6
Orestis Karnezis,https://www.fifaindex.com/static/FIFA20/images/players/5/183497.png,34,Greece,Napoli ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/48.png,77,77,"6'3""",179lbs,Right,GK,€4.8M,€41K,19,16,24,22,14.0,15,11,36,23,44,34,45.0,73,49.0,54,64.0,33,66,18,18,23.0,10.0,47.0,21,60.0,20,77,76,72,77,78
Juan Foyth,https://www.fifaindex.com/static/FIFA20/images/players/5/237221.png,22,Argentina,Spurs ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/18.png,75,85,"6'2""",152lbs,Right,CB,€10M,€44K,69,43,74,74,43.0,71,47,66,75,69,71,72.0,74,69.0,56,72.0,69,72,39,67,74.0,50.0,59.0,47,57.0,73,8,15,7,14,9
Justin Kluivert,https://www.fifaindex.com/static/FIFA20/images/players/5/236920.png,20,Netherlands,Roma ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/52.png,75,85,"5'7""",146lbs,Right,RW,€11M,€26K,71,68,52,68,67.0,81,58,54,79,90,87,84.0,68,83.0,77,64.0,67,53,76,63,25.0,66.0,69.0,66,74.0,47,5,6,14,7,12
Ryan Sessegnon,https://www.fifaindex.com/static/FIFA20/images/players/5/235883.png,19,England,Spurs ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/18.png,75,86,"5'10""",157lbs,Left,LW,€11M,€38K,72,72,55,72,55.0,72,31,62,76,85,87,79.0,73,84.0,67,66.0,75,56,57,60,67.0,74.0,72.0,61,80.0,65,6,11,7,8,7
Amadou Diawara,https://www.fifaindex.com/static/FIFA20/images/players/5/230613.png,22,Guinea,Roma ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/52.png,75,81,"6'0""",165lbs,Right,CDM,€9M,€26K,64,48,59,80,46.0,76,37,76,80,65,64,77.0,73,69.0,66,56.0,77,69,56,80,74.0,54.0,78.0,52,75.0,73,11,14,5,11,11
Marko Pjaca,https://www.fifaindex.com/static/FIFA20/images/players/5/229593.png,24,Croatia,Juventus ,https://www.fifaindex.com/static/FIFA19/images/crest/3/light/45.png,75,79,"6'1""",183lbs,Right,RM,€8.5M,€71K,76,61,68,77,72.0,86,72,67,87,76,78,77.0,68,75.0,76,67.0,67,74,72,50,30.0,62.0,68.0,72,70.0,41,11,5,10,9,12
Ainsley Maitland-Niles,https://www.fifaindex.com/static/FIFA20/images/players/5/225782.png,22,England,Arsenal ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/1.png,75,84,"5'10""",157lbs,Right,RWB,€9.5M,€41K,71,56,54,74,44.0,77,36,69,76,83,87,79.0,72,71.0,65,55.0,78,66,62,58,70.0,66.0,72.0,54,77.0,67,15,9,7,10,13
Giovanni Di Lorenzo,https://www.fifaindex.com/static/FIFA20/images/players/5/217870.png,26,Italy,Napoli ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/48.png,75,77,"6'0""",181lbs,Right,RB,€7M,€43K,76,68,71,73,66.0,75,69,71,73,69,72,73.0,75,72.0,72,75.0,79,73,69,74,75.0,70.0,64.0,59,72.0,76,8,10,8,10,7
Valentino Lazaro,https://www.fifaindex.com/static/FIFA20/images/players/5/211147.png,23,Austria,Inter ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/44.png,75,79,"5'11""",168lbs,Right,RM,€7.5M,€39K,80,69,49,77,72.0,81,69,72,81,86,82,82.0,76,77.0,69,56.0,73,66,70,65,71.0,76.0,75.0,67,77.0,72,8,13,11,8,8
Emiliano Martínez,https://www.fifaindex.com/static/FIFA20/images/players/5/202811.png,27,Argentina,Arsenal ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/1.png,75,78,"6'4""",187lbs,Right,GK,€6M,€47K,22,16,26,45,13.0,13,20,48,35,59,57,49.0,69,49.0,57,60.0,40,70,16,37,13.0,12.0,64.0,42,53.0,11,75,74,76,73,76
Davide Santon,https://www.fifaindex.com/static/FIFA20/images/players/5/189484.png,29,Italy,Roma ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/52.png,75,75,"6'2""",170lbs,Right,RWB,€5.5M,€34K,76,46,65,76,57.0,75,43,69,75,64,70,65.0,75,57.0,74,74.0,71,66,68,72,76.0,65.0,64.0,57,76.0,75,15,10,15,14,8
Andrea Ranocchia,https://www.fifaindex.com/static/FIFA20/images/players/5/182168.png,31,Italy,Inter ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/44.png,75,75,"6'5""",179lbs,Right,CB,€4.9M,€45K,45,22,77,67,24.0,58,34,65,67,31,33,44.0,65,31.0,59,68.0,55,76,31,68,79.0,32.0,56.0,34,69.0,75,12,15,11,12,15
Willy Caballero,https://www.fifaindex.com/static/FIFA20/images/players/5/139062.png,38,Argentina,Chelsea ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/5.png,75,75,"6'1""",183lbs,Right,GK,€675K,€37K,12,11,22,33,13.0,12,11,48,30,43,46,39.0,71,55.0,53,70.0,37,69,14,30,19.0,7.0,47.0,16,57.0,14,74,72,71,76,74
Mehdi Taremi,https://www.fifaindex.com/static/FIFA20/images/players/5/241788.png,27,Iran,Paris ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/73.png,74,74,"6'2""",181lbs,Right,ST,€6M,€10K,56,74,69,68,71.0,79,43,47,78,68,67,67.0,74,60.0,78,70.0,66,72,70,31,17.0,76.0,68.0,61,74.0,33,9,11,9,15,8
Mady Camara,https://www.fifaindex.com/static/FIFA20/images/players/5/237520.png,22,Guinea,Inter ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/44.png,73,83,"5'11""",179lbs,Right,CB,€6M,€500,61,51,69,69,46.0,71,40,66,71,66,70,64.0,68,62.0,82,63.0,88,83,70,82,70.0,57.0,60.0,41,66.0,73,11,11,9,11,7
Kyle Walker-Peters,https://www.fifaindex.com/static/FIFA20/images/players/5/227927.png,22,England,Dortmund ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/22.png,74,79,"5'9""",141lbs,Right,RB,€6.5M,€49K,75,35,62,71,25.0,74,31,62,70,78,75,69.0,70,80.0,38,75.0,74,59,41,70,72.0,57.0,64.0,32,68.0,70,9,8,7,11,12
Lucas Gamba,https://www.fifaindex.com/static/FIFA20/images/players/5/226765.png,32,Argentina,Milan ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/47.png,74,74,"5'7""",154lbs,Right,CAM,€4.5M,€17K,58,72,59,76,64.0,72,70,61,79,90,84,91.0,68,88.0,69,79.0,68,70,77,27,23.0,77.0,78.0,61,74.0,28,10,8,16,7,7
Karim El Ahmadi,https://www.fifaindex.com/static/FIFA20/images/players/5/162329.png,34,Morocco,Inter ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/44.png,76,76,"5'11""",157lbs,Right,CDM,€3M,€33K,60,54,60,77,62.0,71,50,78,75,63,62,74.0,76,70.0,74,67.0,81,73,66,83,74.0,64.0,72.0,69,83.0,68,12,16,11,14,8
Reiss Nelson,https://www.fifaindex.com/static/FIFA20/images/players/5/231448.png,20,England,Real Madrid ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/243.png,73,85,"5'9""",157lbs,Right,RW,€7M,€35K,65,71,39,68,49.0,81,67,58,76,89,85,84.0,64,76.0,67,41.0,64,52,54,42,42.0,70.0,67.0,54,60.0,24,12,12,11,11,15
Joaquín Laso,https://www.fifaindex.com/static/FIFA20/images/players/5/226772.png,29,Argentina,Arsenal ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/110394.png,73,73,"6'1""",176lbs,Right,CB,€3.5M,€11K,42,37,73,65,31.0,51,30,52,58,54,66,53.0,68,55.0,55,76.0,74,85,40,89,77.0,38.0,40.0,43,62.0,65,10,13,14,12,7
Serhou Guirassy,https://www.fifaindex.com/static/FIFA20/images/players/5/215441.png,23,France,Arsenal ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/110394.png,73,80,"6'2""",181lbs,Right,ST,€5.5M,€15K,54,74,70,66,65.0,74,67,47,75,68,73,68.0,64,65.0,73,73.0,64,77,59,70,29.0,73.0,60.0,67,64.0,37,11,8,12,12,8
Gabriel Fernández,https://www.fifaindex.com/static/FIFA20/images/players/5/notfound.png,25,Uruguay,Arsenal ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/1.png,72,77,"6'1""",176lbs,Right,ST,€4.2M,€17K,55,77,78,65,61.0,65,35,61,71,63,68,71.0,68,55.0,65,72.0,67,86,65,71,61.0,68.0,65.0,68,69.0,54,12,10,14,8,5
David Lischka,https://www.fifaindex.com/static/FIFA20/images/players/5/251181.png,22,Czech Republic,Arsenal ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/110394.png,72,81,"6'2""",194lbs,Left,CB,€4.4M,€500,49,37,72,64,44.0,61,39,72,65,62,66,56.0,65,60.0,50,77.0,64,80,41,78,70.0,52.0,53.0,45,66.0,67,6,9,9,9,10
Jesús Soraire,https://www.fifaindex.com/static/FIFA20/images/players/5/251139.png,31,Argentina,Arsenal ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/110394.png,71,71,"5'9""",154lbs,Right,CM,€2.2M,€7K,62,53,48,72,48.0,72,62,71,74,76,72,79.0,69,84.0,73,71.0,84,81,59,77,57.0,57.0,71.0,57,72.0,55,12,9,10,13,9
Fabio Pereyra,https://www.fifaindex.com/static/FIFA20/images/players/5/251138.png,29,Argentina,Arsenal ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/110394.png,71,72,"6'1""",181lbs,Right,CB,€2.2M,€7K,38,29,68,54,33.0,45,30,52,55,63,67,58.0,64,53.0,49,75.0,73,83,31,76,75.0,34.0,38.0,37,57.0,70,12,11,12,7,11
Ezequiel Piovi,https://www.fifaindex.com/static/FIFA20/images/players/5/251132.png,27,Argentina,Arsenal ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/110394.png,71,72,"5'7""",154lbs,Right,CM,€2.5M,€7K,64,51,47,78,54.0,73,59,77,73,79,73,83.0,64,85.0,67,72.0,84,62,57,67,59.0,53.0,69.0,49,68.0,68,14,14,9,13,12
Bogdan Planić,https://www.fifaindex.com/static/FIFA20/images/players/5/248020.png,28,Serbia,Valencia CF ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/461.png,72,74,"6'3""",187lbs,Right,CB,€3.3M,€11K,39,38,73,58,42.0,40,34,53,45,66,69,63.0,71,60.0,52,77.0,78,81,37,74,70.0,45.0,44.0,42,66.0,69,13,14,5,8,8
Bryan Acosta,https://www.fifaindex.com/static/FIFA20/images/players/5/239782.png,26,Honduras,FC Bayern ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/21.png,72,75,"5'8""",161lbs,Right,CM,€3.8M,€6K,56,62,63,70,44.0,64,73,74,68,79,87,79.0,72,87.0,86,72.0,84,78,79,86,68.0,69.0,75.0,62,68.0,66,9,7,13,8,7
Ryota Nagaki,https://www.fifaindex.com/static/FIFA20/images/players/5/232879.png,31,Japan,Arsenal ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/110394.png,72,72,"5'8""",159lbs,Right,CDM,€2.4M,€7K,72,52,57,72,32.0,66,72,70,71,38,51,73.0,69,73.0,65,68.0,73,71,61,71,74.0,69.0,66.0,57,62.0,72,7,11,9,11,5
Lautaro Valenti,https://www.fifaindex.com/static/FIFA20/images/players/5/246164.png,21,Argentina,Manchester Utd ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/11.png,70,82,"6'2""",176lbs,Left,CB,€2.9M,€7K,37,33,67,63,35.0,51,41,47,59,59,67,55.0,63,53.0,63,73.0,67,83,47,79,67.0,39.0,37.0,47,59.0,65,6,8,7,6,8
Kendall Waston,https://www.fifaindex.com/static/FIFA20/images/players/5/216811.png,32,Costa Rica,Arsenal ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/110394.png,71,71,"6'5""",194lbs,Right,CB,€1.8M,€5K,28,30,73,56,21.0,37,26,63,53,39,46,32.0,63,31.0,37,80.0,58,92,23,80,66.0,39.0,35.0,39,52.0,70,13,14,14,6,7
Bartosz Kapustka,https://www.fifaindex.com/static/FIFA20/images/players/5/216003.png,23,Poland,Arsenal ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/110394.png,71,79,"5'10""",148lbs,Right,LM,€3.5M,€36K,65,61,56,73,49.0,72,49,66,72,78,75,77.0,67,75.0,65,70.0,65,51,66,41,38.0,64.0,69.0,55,58.0,32,6,10,9,12,14
Tom Huddlestone,https://www.fifaindex.com/static/FIFA20/images/players/5/54033.png,33,England,Manchester Utd ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/11.png,71,71,"6'2""",176lbs,Right,CDM,€1.6M,€17K,72,59,68,76,78.0,58,71,80,77,33,42,32.0,72,42.0,86,49.0,34,86,71,72,67.0,57.0,73.0,70,82.0,69,10,7,11,9,11
Nikola Maraš,https://www.fifaindex.com/static/FIFA20/images/players/5/notfound.png,24,Serbia,Arsenal ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/110394.png,70,78,"6'2""",174lbs,Right,CB,€2.4M,€5K,31,38,70,62,28.0,49,28,47,56,66,68,65.0,64,56.0,48,75.0,72,73,29,71,66.0,28.0,46.0,32,68.0,72,10,9,12,11,14
Ridle Baku,https://www.fifaindex.com/static/FIFA20/images/players/5/240709.png,21,Germany,Roma ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/52.png,70,82,"5'9""",165lbs,Right,RM,€3.1M,€11K,58,61,51,76,51.0,73,45,67,71,79,85,80.0,68,87.0,61,76.0,74,57,54,72,69.0,64.0,65.0,51,61.0,66,12,8,7,10,9
Reggie Cannon,https://www.fifaindex.com/static/FIFA20/images/players/5/237000.png,21,United States,Arsenal ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/1.png,70,81,"5'11""",165lbs,Right,RB,€2.8M,€3K,57,29,56,63,33.0,66,21,59,64,89,91,82.0,61,75.0,48,80.0,87,71,31,64,63.0,60.0,56.0,33,59.0,65,6,14,10,6,11
Gustavo Velázquez,https://www.fifaindex.com/static/FIFA20/images/players/5/246696.png,28,Paraguay,Arsenal ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/1.png,69,69,"5'11""",172lbs,Right,CB,€925K,€9K,33,27,66,56,23.0,42,30,46,48,83,82,65.0,60,62.0,50,85.0,63,75,21,67,74.0,31.0,32.0,40,70.0,68,9,8,14,7,7
Carlos Benavídez,https://www.fifaindex.com/static/FIFA20/images/players/5/notfound.png,21,Uruguay,Real Madrid ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/243.png,69,79,"6'1""",170lbs,Right,CDM,€1.6M,€6K,48,38,65,72,35.0,55,43,64,68,68,64,52.0,67,61.0,64,68.0,73,64,35,72,67.0,34.0,55.0,52,52.0,68,14,9,14,12,13
Wonlo Coulibaly,https://www.fifaindex.com/static/FIFA20/images/players/5/notfound.png,28,Ivory Coast,Arsenal ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/110394.png,69,69,"5'10""",152lbs,Left,LB,€0,€0,67,42,50,62,32.0,67,41,50,66,75,75,75.0,63,79.0,35,72.0,78,71,42,64,67.0,58.0,49.0,42,52.0,65,12,8,8,6,11
Riku Matsuda,https://www.fifaindex.com/static/FIFA20/images/players/5/245626.png,20,Japan,Dortmund ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/22.png,69,69,"5'7""",152lbs,Right,RWB,€925K,€4K,70,35,37,69,28.0,62,31,60,65,80,84,82.0,64,74.0,33,73.0,76,79,26,76,67.0,56.0,54.0,37,55.0,59,14,14,10,9,9
Riku Matsuda,https://www.fifaindex.com/static/FIFA20/images/players/5/245626.png,20,Japan,Dortmund ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/22.png,61,71,"5'9""",132lbs,Right,RB,€375K,€2K,56,30,56,61,25.0,49,33,62,59,63,64,72.0,58,80.0,20,65.0,58,47,28,64,61.0,46.0,43.0,32,48.0,60,11,7,5,11,10
Marvin Wanitzek,https://www.fifaindex.com/static/FIFA20/images/players/5/228245.png,26,Germany,Spurs ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/18.png,68,69,"5'10""",163lbs,Right,RM,€1M,€6K,71,56,49,72,50.0,68,78,68,74,76,74,79.0,66,75.0,66,64.0,74,62,59,49,61.0,55.0,68.0,66,60.0,43,15,12,10,13,8
Giorgi Tsitaishvili,https://www.fifaindex.com/static/FIFA20/images/players/5/245131.png,19,Ukraine,Manchester City ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/10.png,68,85,"5'7""",139lbs,Left,LW,€1.8M,€500,59,62,32,62,40.0,76,37,60,72,86,83,85.0,63,87.0,53,48.0,50,37,53,29,29.0,54.0,64.0,54,49.0,32,9,9,8,13,12
Sebastian Walukiewicz,https://www.fifaindex.com/static/FIFA20/images/players/5/243497.png,19,Poland,Manchester Utd ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/11.png,68,82,"6'2""",176lbs,Right,CB,€1.8M,€6K,23,36,69,64,28.0,44,22,58,59,64,54,51.0,62,53.0,42,76.0,68,79,42,59,66.0,29.0,40.0,38,60.0,68,10,14,6,15,6
Sebastián Guzmán,https://www.fifaindex.com/static/FIFA20/images/players/5/243011.png,22,Colombia,Dortmund ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/22.png,68,78,"5'10""",126lbs,Right,CM,€1.3M,€1K,53,30,46,69,41.0,58,32,65,69,68,69,66.0,69,68.0,67,64.0,82,70,69,67,63.0,56.0,73.0,59,71.0,64,9,6,11,12,12
Noah Okafor,https://www.fifaindex.com/static/FIFA20/images/players/5/242530.png,19,Switzerland,Sevilla FC ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/481.png,68,84,"6'1""",187lbs,Right,RW,€1.9M,€6K,69,54,60,64,56.0,74,43,43,72,78,81,79.0,63,68.0,70,63.0,71,70,68,53,20.0,62.0,57.0,54,54.0,40,14,14,11,6,5
Jan Repas,https://www.fifaindex.com/static/FIFA20/images/players/5/240802.png,22,Slovenia,Manchester Utd ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/11.png,68,75,"5'7""",150lbs,Left,CAM,€1.3M,€4K,64,60,52,71,57.0,71,60,64,73,80,74,73.0,61,78.0,65,55.0,55,54,59,39,35.0,63.0,60.0,62,55.0,44,14,13,6,8,6
Manuel Balda,https://www.fifaindex.com/static/FIFA20/images/players/5/251240.png,27,Ecuador,Arsenal ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/110394.png,67,67,"5'8""",148lbs,Right,ST,€800K,€7K,53,71,68,53,76.0,75,49,40,72,78,81,82.0,66,79.0,78,50.0,45,42,70,35,19.0,72.0,68.0,69,51.0,26,9,6,5,7,9
Ezequiel Cérica,https://www.fifaindex.com/static/FIFA20/images/players/5/251183.png,33,Argentina,Arsenal ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/110394.png,67,67,"6'0""",170lbs,Right,ST,€600K,€4K,43,69,67,55,55.0,57,41,45,59,65,69,63.0,61,55.0,75,73.0,53,83,63,47,27.0,67.0,49.0,69,73.0,25,13,8,9,13,14
Patricio Álvarez,https://www.fifaindex.com/static/FIFA20/images/players/5/notfound.png,25,Peru,Paris ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/73.png,67,70,"5'11""",172lbs,Right,GK,€0,€0,11,7,13,20,9.0,10,11,16,11,19,19,26.0,44,47.0,46,72.0,19,47,7,22,7.0,4.0,66.0,11,21.0,6,70,69,61,68,71
Yoël Armougom,https://www.fifaindex.com/static/FIFA20/images/players/5/241551.png,21,France,Valencia CF ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/461.png,67,76,"5'8""",157lbs,Left,LB,€1.1M,€2K,68,32,49,65,27.0,65,45,42,64,75,73,63.0,62,77.0,75,57.0,64,56,43,60,65.0,55.0,45.0,40,53.0,59,13,5,14,7,13
Mateo Carabajal,https://www.fifaindex.com/static/FIFA20/images/players/5/241064.png,22,Argentina,Spurs ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/18.png,66,75,"5'11""",163lbs,Right,CB,€900K,€3K,51,34,61,67,35.0,53,36,63,59,71,71,68.0,57,73.0,53,79.0,81,73,39,66,59.0,39.0,48.0,43,49.0,58,8,7,13,11,10
Giulian Biancone,https://www.fifaindex.com/static/FIFA20/images/players/5/246679.png,19,France,Real Madrid ,https://www.fifaindex.com/static/FIFA20/images/crest/3/light/243.png,66,80,"6'2""",183lbs,Right,RB,€1.3M,€2K,69,28,57,62,35.0,69,38,53,69,69,77,55.0,58,50.0,69,62.0,75,72,66,69,55.0,59.0,49.0,47,66.0,56,8,14,11,8,9
